Run	Time	Name	X pos	Y pos

0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.00	Bee09	20.61	10.26
0	1.00	Bee08	30.87	10.27
0	1.00	Bee01	21.52	16.25
0	1.00	Bee07	46.84	21.96
0	1.00	Bee06	34.64	32.81
0	1.00	Bee03	3.50	1.11
0	1.00	Bee04	39.68	17.47
0	1.00	Bee05	40.03	8.92
0	1.00	Bee02	15.90	20.45
0	1.00	Bee00	1.79	3.39
0	2.01	Bee09	18.74	11.02
0	2.01	Bee08	29.26	9.06
0	2.01	Bee01	23.53	16.01
0	2.01	Bee07	48.16	20.44
0	2.01	Bee06	35.77	31.13
0	2.01	Bee03	4.70	1.09
0	2.01	Bee04	39.85	15.46
0	2.01	Bee05	38.58	10.32
0	2.01	Bee02	15.31	22.38
0	2.01	Bee00	0.97	2.86
0	3.00	Bee09	16.89	11.77
0	3.00	Bee08	27.67	7.86
0	3.00	Bee01	25.50	15.76
0	3.00	Bee07	49.03	19.44
0	3.00	Bee06	36.88	29.49
0	3.00	Bee03	6.66	1.41
0	3.00	Bee04	40.03	13.47
0	3.00	Bee05	37.15	11.70
0	3.00	Bee02	14.73	24.28
0	3.00	Bee00	0.98	2.66
0	4.01	Bee09	15.02	12.52
0	4.01	Bee08	26.06	6.65
0	4.01	Bee01	27.50	15.52
0	4.01	Bee07	48.93	18.78
0	4.01	Bee06	38.01	27.81
0	4.01	Bee03	8.65	1.73
0	4.01	Bee04	40.20	11.47
0	4.01	Bee05	35.70	13.10
0	4.01	Bee02	14.14	26.21
0	4.01	Bee00	1.40	0.96
