Run	Time	Name	X pos	Y pos

0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.00	Bee09	20.61	10.27
0	1.00	Bee08	30.87	10.27
0	1.00	Bee01	21.53	16.25
0	1.00	Bee07	46.84	21.96
0	1.00	Bee06	34.64	32.81
0	1.00	Bee03	3.51	1.11
0	1.00	Bee04	39.68	17.46
0	1.00	Bee05	40.03	8.92
0	1.00	Bee02	15.90	20.45
0	1.00	Bee00	1.79	3.39
